,Questions,Answer,question_clean
291,"  A jar has 1000 coins, of which 999 are fair and 1 is double headed. Pick a coin at random, and toss it 10 times. Given that you see 10 heads, what is the probability that the next toss of that coin is also a head?",There are two ways of choosing the coin. One is to pick a fair coin and the other is to pick the one with two heads.Probability of selecting fair coin = 999/1000 = 0.999 Probability of selecting unfair coin = 1/1000 = 0.001Selecting 10 heads in a row = Selecting fair coin * Getting 10 heads  +  Selecting an unfair coinP (A)  =  0.999 * (1/2)^5  =  0.999 * (1/1024)  =  0.000976 P (B)  =  0.001 * 1  =  0.001 P( A / A + B )  = 0.000976 /  (0.000976 + 0.001)  =  0.4939 P( B / A + B )  = 0.001 / 0.001976  =  0.5061Probability of selecting another head = P(A/A+B) * 0.5 + P(B/A+B) * 1 = 0.4939 * 0.5 + 0.5061  =  0.7531,1 10 10 1000 999 also coin coin coin doubl fair head head head jar next pick probabl random see time toss toss
292,  What do you understand by statistical power of sensitivity and how do you calculate it?,"Sensitivity is commonly used to validate the accuracy of a classifier (Logistic, SVM, Random Forest etc.).Sensitivity is nothing but “Predicted True events/ Total events”. True events here are the events which were true and model also predicted them as true.Calculation of seasonality is pretty straightforward.Seasonality = ( True Positives ) / ( Positives in Actual Dependent Variable )",calcul power sensit statist understand
293,  Why Is Re-sampling Done?,"Resampling is done in any of these cases: Estimating the accuracy of sample statistics by using subsets of accessible data or drawing randomly with replacement from a set of data points  Substituting labels on data points when performing significance tests  Validating models by using random subsets (bootstrapping, cross-validation) Estimating the accuracy of sample statistics by using subsets of accessible data or drawing randomly with replacement from a set of data pointsSubstituting labels on data points when performing significance testsValidating models by using random subsets (bootstrapping, cross-validation)",done resampl
294,  What are the differences between over-fitting and under-fitting?,"In statistics and machine learning, one of the most common tasks is to fit a model to a set of training data, so as to be able to make reliable predictions on general untrained data.In overfitting, a statistical model describes random error or noise instead of the underlying relationship. Overfitting occurs when a model is excessively complex, such as having too many parameters relative to the number of observations. A model that has been overfitted, has poor predictive performance, as it overreacts to minor fluctuations in the training data.Underfitting occurs when a statistical model or machine learning algorithm cannot capture the underlying trend of the data. Underfitting would occur, for example, when fitting a linear model to non-linear data. Such a model too would have poor predictive performance.",differ overfit underfit
295,  How to combat Overfitting and Underfitting?,"To combat overfitting and underfitting, you can resample the data to estimate the model accuracy (k-fold cross-validation) and by having a validation dataset to evaluate the model.",combat overfit underfit
296,  What is regularisation? Why is it useful?,Regularisation is the process of adding tuning parameter to a model to induce smoothness in order to prevent overfitting. This is most often done by adding a constant multiple to an existing weight vector. This constant is often the L1(Lasso) or L2(ridge). The model predictions should then minimize the loss function calculated on the regularized training set.,regularis use
297,  What Is the Law of Large Numbers?,"It is a theorem that describes the result of performing the same experiment a large number of times. This theorem forms the basis of frequency-style thinking. It says that the sample means, the sample variance and the sample standard deviation converge to what they are trying to estimate.",larg law number
298,   What Are Confounding Variables?,"In statistics, a confounder is a variable that influences both the dependent variable and independent variable.For example, if you are researching whether a lack of exercise leads to weight gain,lack of exercise = independent variableweight gain = dependent variable.A confounding variable here would be any other variable that affects both of these variables, such as the age of the subject.",confound variabl
299,  What Are the Types of Biases That Can Occur During Sampling?, Selection bias  Under coverage bias  Survivorship bias Selection biasUnder coverage biasSurvivorship bias,bias occur sampl type
300,  What is Survivorship Bias?,It is the logical error of focusing aspects that support surviving some process and casually overlooking those that did not work because of their lack of prominence. This can lead to wrong conclusions in numerous different means.,bia survivorship
301,  What is selection Bias?,Selection bias occurs when the sample obtained is not representative of the population intended to be analysed.,bia select
302,  Explain how a ROC curve works?,The ROC curve is a graphical representation of the contrast between true positive rates and false-positive rates at various thresholds. It is often used as a proxy for the trade-off between the sensitivity(true positive rate) and false-positive rate. ,curv roc work
303,  What is TF/IDF vectorization?,"TF–IDF is short for term frequency-inverse document frequency, is a numerical statistic that is intended to reflect how important a word is to a document in a collection or corpus. It is often used as a weighting factor in information retrieval and text mining.The TF–IDF value increases proportionally to the number of times a word appears in the document but is offset by the frequency of the word in the corpus, which helps to adjust for the fact that some words appear more frequently in general.",tfidf vector
304,  Why we generally use Softmax non-linearity function as last operation in-network?,"It is because it takes in a vector of real numbers and returns a probability distribution. Its definition is as follows. Let x be a vector of real numbers (positive, negative, whatever, there are no constraints).Then the i’th component of Softmax(x) is —It should be clear that the output is a probability distribution: each element is non-negative and the sum over all components is 1. ",function gener innetwork last nonlinear oper softmax use
305,  Python or R – Which one would you prefer for text analytics?,We will prefer Python because of the following reasons: Python would be the best option because it has Pandas library that provides easy to use data structures and high-performance data analysis tools.  R is more suitable for machine learning than just text analysis.  Python performs faster for all types of text analytics. Python would be the best option because it has Pandas library that provides easy to use data structures and high-performance data analysis tools.R is more suitable for machine learning than just text analysis.Python performs faster for all types of text analytics.,analyt prefer python r text would
306,  How does data cleaning plays a vital role in the analysis?,"Data cleaning can help in analysis because: Cleaning data from multiple sources helps to transform it into a format that data analysts or data scientists can work with.  Data Cleaning helps to increase the accuracy of the model in machine learning.  It is a cumbersome process because as the number of data sources increases, the time taken to clean the data increases exponentially due to the number of sources and the volume of data generated by these sources.  It might take up to 80% of the time for just cleaning data making it a critical part of the analysis task. Cleaning data from multiple sources helps to transform it into a format that data analysts or data scientists can work with.Data Cleaning helps to increase the accuracy of the model in machine learning.It is a cumbersome process because as the number of data sources increases, the time taken to clean the data increases exponentially due to the number of sources and the volume of data generated by these sources.It might take up to 80% of the time for just cleaning data making it a critical part of the analysis task.",analysi clean data play role vital
307,"  Differentiate between univariate, bivariate and multivariate analysis.","Univariate analyses are descriptive statistical analysis techniques which can be differentiated based on the number of variables involved at a given point of time. For example, the pie charts of sales based on territory involve only one variable and can the analysis can be referred to as univariate analysis.The bivariate analysis attempts to understand the difference between two variables at a time as in a scatterplot. For example, analyzing the volume of sale and spending can be considered as an example of bivariate analysis.Multivariate analysis deals with the study of more than two variables to understand the effect of variables on the responses.",analysi bivari differenti multivari univari
308,  Explain Star Schema.,"It is a traditional database schema with a central table. Satellite tables map IDs to physical names or descriptions and can be connected to the central fact table using the ID fields; these tables are known as lookup tables and are principally useful in real-time applications, as they save a lot of memory. Sometimes star schemas involve several layers of summarization to recover information faster.",schema star
309,  What is Cluster Sampling?,"Cluster sampling is a technique used when it becomes difficult to study the target population spread across a wide area and simple random sampling cannot be applied. Cluster Sample is a probability sample where each sampling unit is a collection or cluster of elements.For eg., A researcher wants to survey the academic performance of high school students in Japan. He can divide the entire population of Japan into different clusters (cities). Then the researcher selects a number of clusters depending on his research through simple or systematic random sampling.Let’s continue our Data Science Interview Questions blog with some more statistics questions.",cluster sampl
310,  What is Systematic Sampling?,"Systematic sampling is a statistical technique where elements are selected from an ordered sampling frame. In systematic sampling, the list is progressed in a circular manner so once you reach the end of the list, it is progressed from the top again. The best example of systematic sampling is equal probability method.",sampl systemat
311,  What are Eigenvectors and Eigenvalues?,"Eigenvectors are used for understanding linear transformations. In data analysis, we usually calculate the eigenvectors for a correlation or covariance matrix. Eigenvectors are the directions along which a particular linear transformation acts by flipping, compressing or stretching.Eigenvalue can be referred to as the strength of the transformation in the direction of eigenvector or the factor by which the compression occurs.",eigenvalu eigenvector
312,  Can you cite some examples where a false positive is important than a false negative?,"Let us first understand what false positives and false negatives are. False Positives are the cases where you wrongly classified a non-event as an event a.k.a Type I error.  False Negatives are the cases where you wrongly classify events as non-events, a.k.a Type II error. False Positives are the cases where you wrongly classified a non-event as an event a.k.a Type I error.False Negatives are the cases where you wrongly classify events as non-events, a.k.a Type II error.Example 1: In the medical field, assume you have to give chemotherapy to patients. Assume a patient comes to that hospital and he is tested positive for cancer, based on the lab prediction but he actually doesn’t have cancer. This is a case of false positive. Here it is of utmost danger to start chemotherapy on this patient when he actually does not have cancer. In the absence of cancerous cell, chemotherapy will do certain damage to his normal healthy cells and might lead to severe diseases, even cancer.Example 2: Let’s say an e-commerce company decided to give $1000 Gift voucher to the customers whom they assume to purchase at least $10,000 worth of items. They send free voucher mail directly to 100 customers without any minimum purchase condition because they assume to make at least 20% profit on sold items above $10,000. Now the issue is if we send the $1000 gift vouchers to customers who have not actually purchased anything but are marked as having made $10,000 worth of purchase.",cite exampl fals fals import neg posit
313,  Can you cite some examples where a false negative important than a false positive?,"Example 1: Assume there is an airport ‘A’ which has received high-security threats and based on certain characteristics they identify whether a particular passenger can be a threat or not. Due to a shortage of staff, they decide to scan passengers being predicted as risk positives by their predictive model. What will happen if a true threat customer is being flagged as non-threat by airport model?Example 2: What if Jury or judge decides to make a criminal go free?Example 3: What if you rejected to marry a very good person based on your predictive model and you happen to meet him/her after a few years and realize that you had a false negative?",cite exampl fals fals import neg posit
314,  Can you cite some examples where both false positive and false negatives are equally important?,"In the Banking industry giving loans is the primary source of making money but at the same time if your repayment rate is not good you will not make any profit, rather you will risk huge losses.Banks don’t want to lose good customers and at the same point in time, they don’t want to acquire bad customers. In this scenario, both the false positives and false negatives become very important to measure.",cite equal exampl fals fals import neg posit
315,  Can you explain the difference between a Validation Set and a Test Set?,"A Validation set can be considered as a part of the training set as it is used for parameter selection and to avoid overfitting of the model being built.On the other hand, a Test Set is used for testing or evaluating the performance of a trained machine learning model.In simple terms, the differences can be summarized as; training set is to fit the parameters i.e. weights and test set is to assess the performance of the model i.e. evaluating the predictive power and generalization.",set set test valid
316,  Explain cross-validation.,Cross-validation is a model validation technique for evaluating how the outcomes of statistical analysis will generalize to an independent dataset. Mainly used in backgrounds where the objective is forecast and one wants to estimate how accurately a model will accomplish in practice.The goal of cross-validation is to term a data set to test the model in the training phase (i.e. validation data set) in order to limit problems like overfitting and get an insight on how the model will generalize to an independent data set. ,crossvalid
317,  What is Machine Learning?,"Machine Learning explores the study and construction of algorithms that can learn from and make predictions on data. Closely related to computational statistics. Used to devise complex models and algorithms that lend themselves to a prediction which in commercial use is known as predictive analytics. Given below, is an image representing the various domains Machine Learning lends itself to. ",learn machin
318,  What is Supervised Learning?,"Supervised learning is the machine learning task of inferring a function from labeled training data. The training data consist of a set of training examples.Algorithms: Support Vector Machines, Regression, Naive Bayes, Decision Trees, K-nearest Neighbor Algorithm and Neural NetworksE.g. If you built a fruit classifier, the labels will be “this is an orange, this is an apple and this is a banana”, based on showing the classifier examples of apples, oranges and bananas.",learn supervis
319,  What is Unsupervised learning?,"Unsupervised learning is a type of machine learning algorithm used to draw inferences from datasets consisting of input data without labelled responses.Algorithms: Clustering, Anomaly Detection, Neural Networks and Latent Variable ModelsE.g. In the same example, a fruit clustering will categorize as “fruits with soft skin and lots of dimples”, “fruits with shiny hard skin” and “elongated yellow fruits”.",learn unsupervis
320,  What are the various classification algorithms?,The diagram lists the most important classification algorithms.,algorithm classif variou
321,  What is ‘Naive’ in a Naive Bayes?,"The Naive Bayes Algorithm is based on the Bayes Theorem. Bayes’ theorem describes the probability of an event, based on prior knowledge of conditions that might be related to the event.The Algorithm is ‘naive’ because it makes assumptions that may or may not turn out to be correct.",bay naiv naiv
322,  How do you build a random forest model?,"A random forest model combines many decision tree models together. The decision trees chosen have high bias and low variance. These decision trees are placed parallelly. Each decision tree takes a sample subset of rows and columns with replacement. The result of each decision tree is noted and the majority, which is mode in case of classification problem, or mean and median in case of a regression problem is taken as the answer.",build forest random
323,  Explain SVM algorithm in detail.,"SVM stands for support vector machine, it is a supervised machine learning algorithm which can be used for both Regression and Classification. If you have n features in your training data set, SVM tries to plot it in n-dimensional space with the value of each feature being the value of a particular coordinate. SVM uses hyperplanes to separate out different classes based on the provided kernel function.",detail svm
324,  What are the support vectors in SVM?,"In the diagram, we see that the thinner lines mark the distance from the classifier to the closest data points called the support vectors (darkened data points). The distance between the two thin lines is called the margin.",support svm vector
325,  What are the different kernels in SVM?,There are four types of kernels in SVM.Linear KernelPolynomial kernelRadial basis kernelSigmoid kernel,differ kernel svm
326,  Explain Decision Tree algorithm in detail.,A decision tree is a supervised machine learning algorithm mainly used for Regression and Classification. It breaks down a data set into smaller and smaller subsets while at the same time an associated decision tree is incrementally developed. The final result is a tree with decision nodes and leaf nodes. A decision tree can handle both categorical and numerical data.,decis detail tree
327,  What are Entropy and Information gain in Decision tree algorithm?,The core algorithm for building a decision tree is called ID3. ID3 uses Entropy and Information Gain to construct a decision tree.EntropyA decision tree is built top-down from a root node and involve partitioning of data into homogenious subsets. ID3 uses enteropy to check the homogeneity of a sample. If the sample is completely homogenious then entropy is zero and if the sample is an equally divided it has entropy of one.Information GainThe Information Gain is based on the decrease in entropy after a dataset is split on an attribute. Constructing a decision tree is all about finding attributes that return the highest information gain.,decis entropi gain inform tree
328,  What is pruning in Decision Tree?,"Pruning is a technique in machine learning and search algorithms that reduces the size of decision trees by removing sections of the tree that provide little power to classify instances. So, when we remove sub-nodes of a decision node, this process is called pruning or opposite process of splitting.",decis prune tree
329,  What is logistic regression? State an example when you have used logistic regression recently.,"Logistic Regression often referred to as the logit model is a technique to predict the binary outcome from a linear combination of predictor variables. For example, if you want to predict whether a particular political leader will win the election or not. In this case, the outcome of prediction is binary i.e. 0 or 1 (Win/Lose). The predictor variables here would be the amount of money spent for election campaigning of a particular candidate, the amount of time spent in campaigning, etc.",exampl logist logist recent regress regress state
330,  What is Linear Regression?,Linear regression is a statistical technique where the score of a variable Y is predicted from the score of a second variable X. X is referred to as the predictor variable and Y as the criterion variable.,linear regress
331,  What Are the Drawbacks of the Linear Model?,Some drawbacks of the linear model are: The assumption of linearity of the errors.  It can’t be used for count outcomes or binary outcomes  There are overfitting problems that it can’t solve The assumption of linearity of the errors.It can’t be used for count outcomes or binary outcomesThere are overfitting problems that it can’t solve,drawback linear
332,  What is the difference between Regression and classification ML techniques?,"Both Regression and classification machine learning techniques come under Supervised machine learning algorithms. In Supervised machine learning algorithm, we have to train the model using labelled data set, While training we have to explicitly provide the correct labels and algorithm tries to learn the pattern from input to output. If our labels are discrete values then it will a classification problem, e.g A,B etc. but if our labels are continuous values then it will be a regression problem, e.g 1.23, 1.333 etc.",classif ml regress techniqu
333,  What are Recommender Systems?,"Recommender Systems are a subclass of information filtering systems that are meant to predict the preferences or ratings that a user would give to a product. Recommender systems are widely used in movies, news, research articles, products, social tags, music, etc.Examples include movie recommenders in IMDB, Netflix & BookMyShow, product recommenders in e-commerce sites like Amazon, eBay & Flipkart, YouTube video recommendations and game recommendations in Xbox.",recommend system
334,  What is Collaborative filtering?,"The process of filtering used by most of the recommender systems to find patterns or information by collaborating viewpoints, various data sources and multiple agents.An example of collaborative filtering can be to predict the rating of a particular user based on his/her ratings for other movies and others’ ratings for all movies. This concept is widely used in recommending movies in IMDB, Netflix & BookMyShow, product recommenders in e-commerce sites like Amazon, eBay & Flipkart, YouTube video recommendations and game recommendations in Xbox.",collabor filter
335,  How can outlier values be treated?,"Outlier values can be identified by using univariate or any other graphical analysis method. If the number of outlier values is few then they can be assessed individually but for a large number of outliers, the values can be substituted with either the 99th or the 1st percentile values.All extreme values are not outlier values. The most common ways to treat outlier valuesTo change the value and bring it within a range.To just remove the value.",outlier treat valu
336,  What are the various steps involved in an analytics project?,"The following are the various steps involved in an analytics project:Understand the Business problemExplore the data and become familiar with it.Prepare the data for modelling by detecting outliers, treating missing values, transforming variables, etc.After data preparation, start running the model, analyze the result and tweak the approach. This is an iterative step until the best possible outcome is achieved.Validate the model using a new data set.Start implementing the model and track the result to analyze the performance of the model over the period of time.",analyt involv project step variou
337,"  During analysis, how do you treat missing values?","The extent of the missing values is identified after identifying the variables with missing values. If any patterns are identified the analyst has to concentrate on them as it could lead to interesting and meaningful business insights.If there are no patterns identified, then the missing values can be substituted with mean or median values (imputation) or they can simply be ignored. Assigning a default value which can be mean, minimum or maximum value. Getting into the data is important.If it is a categorical variable, the default value is assigned. The missing value is assigned a default value. If you have a distribution of data coming, for normal distribution give the mean value.If 80% of the values for a variable are missing then you can answer that you would be dropping the variable instead of treating the missing values.",analysi miss treat valu
338,  How will you define the number of clusters in a clustering algorithm?,"Though the Clustering Algorithm is not specified, this question is mostly in reference to K-Means clustering where “K” defines the number of clusters. The objective of clustering is to group similar entities in a way that the entities within a group are similar to each other but the groups are different from each other.For example, the following image shows three different groups. Within Sum of squares is generally used to explain the homogeneity within a cluster. If you plot WSS for a range of number of clusters, you will get the plot shown below. The Graph is generally known as Elbow Curve.  Red circled a point in above graph i.e. Number of Cluster =6 is the point after which you don’t see any decrement in WSS.  This point is known as the bending point and taken as K in K – Means. The Graph is generally known as Elbow Curve.Red circled a point in above graph i.e. Number of Cluster =6 is the point after which you don’t see any decrement in WSS.This point is known as the bending point and taken as K in K – Means.This is the widely used approach but few data scientists also use Hierarchical clustering first to create dendrograms and identify the distinct groups from there.",cluster cluster
339,  What is Ensemble Learning?,Ensemble Learning is basically combining a diverse set of learners(Individual models) together to improvise on the stability and predictive power of the model.,ensembl learn
340,  Describe in brief any type of Ensemble Learning?,"Ensemble learning has many types but two more popular ensemble learning techniques are mentioned below.BaggingBagging tries to implement similar learners on small sample populations and then takes a mean of all the predictions. In generalised bagging, you can use different learners on different population. As you expect this helps us to reduce the variance error.BoostingBoosting is an iterative technique which adjusts the weight of an observation based on the last classification. If an observation was classified incorrectly, it tries to increase the weight of this observation and vice versa. Boosting in general decreases the bias error and builds strong predictive models. However, they may over fit on the training data.",ensembl learn type
341,  What is a Random Forest? How does it work?,"Random forest is a versatile machine learning method capable of performing both regression and classification tasks. It is also used for dimensionality reduction, treats missing values, outlier values. It is a type of ensemble learning method, where a group of weak models combine to form a powerful model.In Random Forest, we grow multiple trees as opposed to a single tree. To classify a new object based on attributes, each tree gives a classification. The forest chooses the classification having the most votes(Overall the trees in the forest) and in case of regression, it takes the average of outputs by different trees.",forest random work
342,  How Do You Work Towards a Random Forest?,"The underlying principle of this technique is that several weak learners combined to provide a keen learner. The steps involved are Build several decision trees on bootstrapped training samples of data On each tree, each time a split is considered, a random sample of mm predictors is chosen as split candidates, out of all pp predictors Rule of thumb: At each split m=p√m=p Predictions: At the majority rule",forest random toward work
343,  What cross-validation technique would you use on a time series data set?,"Instead of using k-fold cross-validation, you should be aware of the fact that a time series is not randomly distributed data — It is inherently ordered by chronological order.In case of time series data, you should use techniques like forward=chaining — Where you will be model on past data then look at forward-facing data.fold 1: training[1], test[2]fold 1: training[1 2], test[3]fold 1: training[1 2 3], test[4]fold 1: training[1 2 3 4], test[5]",crossvalid data seri set techniqu time use would
344,  What is a Box-Cox Transformation?,"The dependent variable for a regression analysis might not satisfy one or more assumptions of an ordinary least squares regression. The residuals could either curve as the prediction increases or follow the skewed distribution. In such scenarios, it is necessary to transform the response variable so that the data meets the required assumptions. A Box cox transformation is a statistical technique to transform non-normal dependent variables into a normal shape. If the given data is not normal then most of the statistical techniques assume normality. Applying a box cox transformation means that you can run a broader number of tests.A Box-Cox transformation is a way to transform non-normal dependent variables into a normal shape. Normality is an important assumption for many statistical techniques, if your data isn’t normal, applying a Box-Cox means that you are able to run a broader number of tests. The Box-Cox transformation is named after statisticians George Box and Sir David Roxbee Cox who collaborated on a 1964 paper and developed the technique.",boxcox transform
345,  How Regularly Must an Algorithm be Updated?,You will want to update an algorithm when: You want the model to evolve as data streams through infrastructure  The underlying data source is changing  There is a case of non-stationarity  The algorithm underperforms/ results lack accuracyYou want the model to evolve as data streams through infrastructureThe underlying data source is changingThere is a case of non-stationarity,must regularli updat
346,  If you are having 4GB RAM in your machine and you want to train your model on 10GB data set. How would you go about this problem? Have you ever faced this kind of problem in your machine learning/data science experience so far?,"First of all, you have to ask which ML model you want to train.For Neural networks: Batch size with Numpy array will work.Steps:Load the whole data in the Numpy array. Numpy array has a property to create a mapping of the complete data set, it doesn’t load complete data set in memory.You can pass an index to Numpy array to get required data.Use this data to pass to the Neural network.Have a small batch size.For SVM: Partial fit will workSteps:Divide one big data set in small size data sets.Use a partial fit method of SVM, it requires a subset of the complete data set.Repeat step 2 for other subsets.However, you could actually face such an issue in reality. So, you could check out the best laptop for Machine Learning to prevent that. Having said that, let’s move on to some questions on deep learning. ",10gb 4gb data ever experi face far go kind learningdata machin machin problem problem ram scienc set train want would
347,  What do you mean by Deep Learning? ,Deep Learning is nothing but a paradigm of machine learning which has shown incredible promise in recent years. This is because of the fact that Deep Learning shows a great analogy with the functioning of the human brain.,deep learn mean
348,  What is the difference between machine learning and deep learning?,"Machine learning is a field of computer science that gives computers the ability to learn without being explicitly programmed. Machine learning can be categorised in the following three categories.Supervised machine learning,Unsupervised machine learning,Reinforcement learningDeep Learning is a subfield of machine learning concerned with algorithms inspired by the structure and function of the brain called artificial neural networks.",deep learn learn machin
349,"  What, in your opinion, is the reason for the popularity of Deep Learning in recent times?","Now although Deep Learning has been around for many years, the major breakthroughs from these techniques came just in recent years. This is because of two main reasons: The increase in the amount of data generated through various sources  The growth in hardware resources required to run these models The increase in the amount of data generated through various sourcesThe growth in hardware resources required to run these modelsGPUs are multiple times faster and they help us build bigger and deeper deep learning models in comparatively less time than we required previously. ",deep learn opinion popular reason recent time
350,  Explain Neural Network Fundamentals,"A neural network in data science aims to imitate a human brain neuron, where different neurons combine together and perform a task. It learns the generalizations or patterns from data and uses this knowledge to predict output for new data, without any human intervention.The simplest neural network can be a perceptron. It contains a single neuron, which performs the 2 operations, a weighted sum of all the inputs, and an activation function.More complicated neural networks consist of the following 3 layers-The figure below shows a neural network-",fundament network neural
351,  What is reinforcement learning?," Reinforcement Learning is learning what to do and how to map situations to actions. The end result is to maximise the numerical reward signal. The learner is not told which action to take but instead must discover which action will yield the maximum reward. Reinforcement learning is inspired by the learning of human beings, it is based on the reward/penalty mechanism.",learn reinforc
352,  What are Artificial Neural Networks?,Artificial Neural networks are a specific set of algorithms that have revolutionized machine learning. They are inspired by biological neural networks. Neural Networks can adapt to changing the input so the network generates the best possible result without needing to redesign the output criteria.,artifici network neural
353,  Describe the structure of Artificial Neural Networks?,"Artificial Neural Networks works on the same principle as a biological Neural Network. It consists of inputs which get processed with weighted sums and Bias, with the help of Activation Functions.",artifici network neural structur
354,  How Are Weights Initialized in a Network?,"There are two methods here: we can either initialize the weights to zero or assign them randomly.Initializing all weights to 0: This makes your model similar to a linear model. All the neurons and every layer perform the same operation, giving the same output and making the deep net useless.Initializing all weights randomly: Here, the weights are assigned randomly by initializing them very close to 0. It gives better accuracy to the model since every neuron performs different computations. This is the most commonly used method.",initi network weight
355,  What Is the Cost Function?,"Also referred to as “loss” or “error,” cost function is a measure to evaluate how good your model’s performance is. It’s used to compute the error of the output layer during backpropagation. We push that error backwards through the neural network and use that during the different training functions.",cost function
356,  What Are Hyperparameters?,"With neural networks, you’re usually working with hyperparameters once the data is formatted correctly. A hyperparameter is a parameter whose value is set before the learning process begins. It determines how a network is trained and the structure of the network (such as the number of hidden units, the learning rate, epochs, etc.).",hyperparamet
357,  What Will Happen If the Learning Rate Is Set inaccurately (Too Low or Too High)?,"When your learning rate is too low, training of the model will progress very slowly as we are making minimal updates to the weights. It will take many updates before reaching the minimum point.If the learning rate is set too high, this causes undesirable divergent behaviour to the loss function due to drastic updates in weights. It may fail to converge (model can give a good output) or even diverge (data is too chaotic for the network to train).",happen high inaccur learn low rate set
358,"  What Is the Difference Between Epoch, Batch, and Iteration in Deep Learning?"," Epoch – Represents one iteration over the entire dataset (everything put into the training model).  Batch – Refers to when we cannot pass the entire dataset into the neural network at once, so we divide the dataset into several batches.  Iteration – if we have 10,000 images as data and a batch size of 200. then an epoch should run 50 iterations (10,000 divided by 50). Epoch – Represents one iteration over the entire dataset (everything put into the training model).Batch – Refers to when we cannot pass the entire dataset into the neural network at once, so we divide the dataset into several batches.Iteration – if we have 10,000 images as data and a batch size of 200. then an epoch should run 50 iterations (10,000 divided by 50).",batch deep epoch iter learn
359,  What Are the Different Layers on CNN?,"There are four layers in CNN:Convolutional Layer –  the layer that performs a convolutional operation, creating several smaller picture windows to go over the data.ReLU Layer – it brings non-linearity to the network and converts all the negative pixels to zero. The output is a rectified feature map.Pooling Layer – pooling is a down-sampling operation that reduces the dimensionality of the feature map.Fully Connected Layer – this layer recognizes and classifies the objects in the image.",cnn differ layer
360,"  What Is Pooling on CNN, and How Does It Work?",Pooling is used to reduce the spatial dimensions of a CNN. It performs down-sampling operations to reduce the dimensionality and creates a pooled feature map by sliding a filter matrix over the input matrix.,cnn pool work
361,  What are Recurrent Neural Networks(RNNs)?,"RNNs are a type of artificial neural networks designed to recognise the pattern from the sequence of data such as Time series, stock market and government agencies etc. To understand recurrent nets, first, you have to understand the basics of feedforward nets.Both these networks RNN and feed-forward named after the way they channel information through a series of mathematical orations performed at the nodes of the network. One feeds information through straight(never touching the same node twice), while the other cycles it through a loop, and the latter are called recurrent.Recurrent networks, on the other hand, take as their input, not just the current input example they see, but also the what they have perceived previously in time.The decision a recurrent neural network reached at time t-1 affects the decision that it will reach one moment later at time t. So recurrent networks have two sources of input, the present and the recent past, which combine to determine how they respond to new data, much as we do in life.The error they generate will return via backpropagation and be used to adjust their weights until error can’t go any lower. Remember, the purpose of recurrent nets is to classify sequential input accurately. We rely on the backpropagation of error and gradient descent to do so.",networksrnn neural recurr
362,  How Does an LSTM Network Work?,"Long-Short-Term Memory (LSTM) is a special kind of recurrent neural network capable of learning long-term dependencies, remembering information for long periods as its default behaviour. There are three steps in an LSTM network: Step 1: The network decides what to forget and what to remember. Step 2: It selectively updates cell state values. Step 3: The network decides what part of the current state makes it to the output.",lstm network work
363,  What Is a Multi-layer Perceptron(MLP)?,"As in Neural Networks, MLPs have an input layer, a hidden layer, and an output layer. It has the same structure as a single layer perceptron with one or more hidden layers. A single layer perceptron can classify only linear separable classes with binary output (0,1), but MLP can classify nonlinear classes.Except for the input layer, each node in the other layers uses a nonlinear activation function. This means the input layers, the data coming in, and the activation function is based upon all nodes and weights being added together, producing the output. MLP uses a supervised learning method called “backpropagation.” In backpropagation, the neural network calculates the error with the help of cost function. It propagates this error backward from where it came (adjusts the weights to train the model more accurately).",multilay perceptronmlp
364,  How can time-series data be declared as stationery?,"When the key parameters of the time series data don’t vary with time, the time series is declared as stationary. These parameters may be mean or variance. There are no trends or seasonal effects in stationary times series. The Data science models need stationary time series data. The below figure shows a stationary time series.",data declar stationeri timeseri
365,  Explain Gradient Descent.,"To Understand Gradient Descent, Let’s understand what is a Gradient first.A gradient measures how much the output of a function changes if you change the inputs a little bit. It simply measures the change in all weights with regard to the change in error. You can also think of a gradient as the slope of a function.Gradient Descent can be thought of climbing down to the bottom of a valley, instead of climbing up a hill.  This is because it is a minimization algorithm that minimizes a given function (Activation Function).",descent gradient
366,  What is exploding gradients?,"While training an RNN, if you see exponentially growing (very large) error gradients which accumulate and result in very large updates to neural network model weights during training, they’re known as exploding gradients. At an extreme, the values of weights can become so large as to overflow and result in NaN values.This has the effect of your model is unstable and unable to learn from your training data.",explod gradient
367,  What is vanishing gradients?,"While training an RNN, your slope can become either too small; this makes the training difficult. The problem is known as a Vanishing Gradient when the slope is too small. It leads to long training times, poor performance, and low accuracy.",gradient vanish
368,  What is Back Propagation and Explain it’s Working.,"Backpropagation is a training algorithm used for multilayer neural network. In this method, we move the error from an end of the network to all weights inside the network, thus allowing efficient gradient computation.It has the following steps: Forward Propagation of Training Data  Derivatives are computed using output and target  Back Propagate for computing derivative of error wrt output activation  Using previously calculated derivatives for output  Update the Weights Forward Propagation of Training DataDerivatives are computed using output and targetBack Propagate for computing derivative of error wrt output activationUsing previously calculated derivatives for outputUpdate the Weights",back propag work
